audit_id,order_id,field_name,old_value,new_value,changed_at,changed_by
48,52169,customer_phone,G3O7GW,HU68E0,2024-05-22T12:44:35,system
49,39998,customer_phone,TU2WQ0,GVN2NP,2025-11-27T22:42:36,support
50,38346,notes,BQ4NCE,DPZSXR,2025-07-28T10:07:36,system
51,104903,customer_phone,ZLTO6T,UV4S2N,2025-10-25T19:42:36,system
52,72741,order_total,LMDFUT,6YD7NZ,2024-08-17T10:27:04,ops
53,85744,customer_phone,FWFH4W,7C5YHP,2024-12-31T15:57:39,ops
54,56597,customer_phone,WJF30W,UD976G,2025-12-20T19:21:11,ops
55,21853,customer_phone,LOO933,C3XHZA,2025-12-05T17:35:24,support
56,115331,customer_phone,BZUJBJ,456G4I,2025-02-16T10:27:54,ops
57,72817,notes,6WXLCK,LGT8TW,2024-01-11T04:21:55,system
58,96417,notes,NCGXAK,E9G324,2025-07-02T09:19:46,system
59,46390,customer_phone,7Z8HL8,N5BYVP,2025-02-25T16:50:01,support
60,484,shipping_address,CVZC6Q,C2AY0C,2025-12-13T16:19:40,system
61,35473,notes,X6MOQR,ITRYT0,2026-01-20T22:52:48,system
62,81102,shipping_address,W5SMH2,AIGFLA,2024-08-04T11:34:05,ops
63,76518,shipping_address,P4PZNU,V8NOSX,2024-03-11T12:09:06,system
64,16742,notes,RWU36H,V8B482,2024-05-16T23:33:08,ops
65,57574,order_total,YP23HU,ZW2Y23,2024-08-21T23:33:10,support
66,32105,order_total,0A01U8,34S7VQ,2025-04-01T03:40:26,system
67,42751,order_total,7MYU8T,U5KHFR,2024-02-25T12:59:48,ops
68,13705,notes,XBBZA5,Q150G2,2025-06-17T14:19:13,ops
69,19317,shipping_address,WKQMOO,U9XZ3J,2025-10-02T18:01:23,support
70,47388,order_total,LKJZRV,39615B,2026-02-05T06:21:52,support
71,54053,notes,CZ7QCV,S9I5NQ,2024-11-04T14:16:56,system
72,72985,shipping_address,9XM9GZ,J7LWLN,2026-01-07T03:29:53,system
73,43443,order_total,5PQ0QO,I5VO1C,2025-12-30T18:28:29,support
74,86555,shipping_address,P14SPR,LQP8ZO,2024-06-23T22:26:54,support
75,32417,customer_phone,ADBDYS,LBW9H5,2025-10-03T07:25:26,ops
76,32153,current_status,ZO803J,IXGNEN,2024-06-20T16:50:28,system
77,85512,order_total,F9GPY5,NT9YES,2024-08-26T15:43:58,system
78,51104,shipping_address,OIDLRT,TDXJ2H,2024-10-27T05:29:28,ops
79,115120,shipping_address,PXS9E5,7PFF49,2025-05-10T05:58:21,ops
80,22509,notes,KT3SSG,AOSD6S,2025-06-05T08:03:56,ops
81,1143,shipping_address,ZZKJWO,OZ21C1,2025-07-04T02:46:11,system
82,109887,notes,DE0AE8,5ZYWIO,2025-09-23T16:49:03,support
83,63715,current_status,BLKDUL,313RML,2024-09-17T17:32:17,support
84,46756,order_total,XAZGGR,7AW6DK,2025-09-05T21:26:27,system
85,79538,notes,KTG4LC,VYXPZ6,2025-05-04T23:13:17,system
86,28308,current_status,90MB0V,QHC76T,2024-08-29T06:22:27,system
87,22618,current_status,D1W316,OFS2X1,2024-06-17T22:36:07,support
88,4390,current_status,USS47U,9AQKQE,2025-01-01T04:17:17,ops
89,114975,notes,D86R1U,SL410K,2024-10-28T11:49:12,ops
90,84931,order_total,I52P1T,RRQBOE,2024-11-10T02:24:55,support
91,72253,notes,B8IXYV,U6KGJ8,2025-07-16T03:54:13,ops
92,94032,shipping_address,695WDJ,LJNVAU,2024-09-18T05:39:06,system
93,59170,customer_phone,B6MID2,3LM88R,2025-08-04T04:08:15,support
94,80041,current_status,JFG8V7,B5I882,2026-02-08T18:17:35,system
95,28482,order_total,8XX1LA,LLO0P0,2025-04-18T02:50:54,system
96,119031,current_status,VTB47B,OILHU0,2025-02-19T13:05:39,support
97,66137,shipping_address,PAS07F,I00PH6,2026-02-12T18:24:00,ops
98,118690,customer_phone,FEDR32,HNHPCS,2024-08-11T13:53:05,ops
99,61604,current_status,NLC4VO,XW9LZP,2025-05-08T03:43:47,ops
100,114332,notes,26E272,Q0FZCG,2025-08-28T07:30:05,ops
101,11426,notes,JQEKLW,54KS3N,2024-11-13T00:27:51,support
102,79239,notes,SK6PCC,LFPUSN,2024-09-02T21:41:13,ops
103,33288,customer_phone,XGEME2,TBVJQ1,2025-06-05T17:49:41,ops
104,82933,order_total,98NVOE,HD7CL8,2025-10-16T13:28:28,support
105,90889,current_status,36C813,RMOLUI,2025-10-05T10:53:26,support
106,20958,notes,C2U0P6,I1HU4S,2025-09-21T21:17:44,ops
107,56606,shipping_address,57QYJB,W4OC0H,2024-01-17T07:43:22,ops
108,114841,current_status,77CI4L,JEC7NS,2025-06-27T13:01:34,support
109,94874,customer_phone,563BQ0,1RGBMK,2026-01-20T12:40:11,system
110,43849,notes,PA8C6V,GAIFGO,2024-07-07T07:46:50,system
111,116022,notes,LQWUZS,Y2DN7L,2026-01-08T00:36:32,system
112,2825,current_status,QERXEQ,N0F8FT,2025-12-04T01:47:54,system
113,33500,notes,RQG86W,ZONLSP,2025-01-20T20:57:33,support
114,37832,customer_phone,PYADP8,QLXZ7T,2025-10-13T04:52:58,ops
115,111640,notes,44HLXA,LEWEBE,2025-05-14T08:01:45,ops
116,98050,customer_phone,XEM3Q6,16PYOW,2025-05-21T20:01:15,system
117,78305,notes,G724NL,4DDTGZ,2024-12-14T19:43:18,ops
118,115736,current_status,B9EWYK,MDA93L,2025-01-11T07:00:27,system
119,69153,notes,NLCNXC,CES293,2025-07-01T00:41:52,system
120,70169,shipping_address,GFEBJC,XUHAQH,2025-08-01T01:35:30,ops
121,36117,order_total,BEVE8Q,X8CAPX,2025-09-16T15:47:10,system
122,55208,notes,94DUZE,VIYYYK,2025-07-05T23:41:59,system
123,54986,current_status,KHPLJE,5HMAFQ,2026-01-14T03:19:50,system
124,40821,notes,UZTNFR,72WK9Q,2024-12-31T17:46:18,support
125,4370,notes,6EPF84,H7RBQZ,2024-10-29T23:45:35,system
126,49305,notes,M2QEN3,JPKUGB,2026-01-29T03:14:33,ops
127,18350,notes,W1WMRV,VS6E1L,2025-01-28T06:21:00,system
128,92020,notes,VZGW37,PDK0XX,2024-10-26T23:51:38,support
129,75715,order_total,834GLK,GNAB9B,2025-05-03T04:03:52,system
130,62494,current_status,9B1OV0,BJZIQ9,2024-08-31T22:23:52,ops
131,14403,order_total,G7WR29,VJKD4X,2026-02-15T05:28:44,support
132,36236,order_total,5IDAGL,ME9D3N,2024-12-06T13:56:08,system
133,24665,shipping_address,O8AS9R,A8OJTB,2024-01-25T12:25:57,system
134,34514,notes,44H0G4,DVA1BS,2025-02-14T21:41:52,ops
135,108963,current_status,XCGHMD,HO6IXX,2025-05-02T18:38:02,ops
136,94691,current_status,5DN75O,MBYTW9,2024-01-22T05:09:43,ops
137,70403,customer_phone,9FHRUG,ZYT16J,2024-03-29T10:22:41,system
138,61976,order_total,PLNSOC,26JVXF,2025-10-01T13:54:38,support
139,109968,order_total,VWL0MI,7NJW82,2025-01-01T23:05:29,ops
140,20409,current_status,8ZS1LS,JNO3WE,2024-08-16T18:30:39,system
141,118797,notes,GLFZUJ,NYAOVS,2024-02-22T04:13:10,system
142,93341,current_status,ZP7UNA,4Q9SFM,2025-09-20T00:12:12,support
143,9790,notes,O1UZS0,YC2580,2026-02-08T04:33:42,system
144,116174,order_total,QTEFLP,J5WNVK,2025-05-22T04:19:56,ops
145,54980,current_status,G14OTP,I7H130,2025-08-29T10:49:00,support
146,73112,customer_phone,GC3I45,N06EH1,2025-06-20T19:16:27,support
147,81463,current_status,DWMBFY,OOY26D,2024-04-07T07:29:30,support
148,83430,current_status,YAQ9WU,BW65TC,2024-11-30T07:05:09,support
149,112814,shipping_address,0YBT5H,YBM3R2,2025-10-03T14:06:02,ops
150,89837,notes,MW5ZV2,BVU4PK,2025-01-07T01:39:24,system
151,53999,shipping_address,ZTX1WL,91S3GT,2024-08-04T08:34:50,ops
152,103700,shipping_address,6EI60N,VQFP0Y,2025-08-13T00:55:33,support
153,103043,customer_phone,S9R82M,OFNQ3Q,2024-09-14T16:41:17,system
154,100098,customer_phone,HP97T3,S5R7H1,2024-05-07T03:34:26,system
155,106382,shipping_address,9N6KM0,ZSGRCZ,2025-06-24T14:06:35,support
156,117016,order_total,124W9N,KJJVP4,2024-06-11T00:42:14,system
157,34707,notes,4IBXQ6,U9PKYY,2024-08-05T21:22:40,support
158,68340,current_status,ZLL9MV,EU24MM,2025-02-11T15:22:25,system
159,95684,notes,HYPHAN,8GA97S,2024-04-23T17:57:50,ops
160,1367,current_status,1FDC7X,GC7JU0,2024-09-23T18:05:01,system
161,14105,order_total,HRRL3E,GCG3IE,2024-10-31T11:34:01,ops
162,90108,order_total,K9BQS6,NNQKGC,2025-06-14T13:06:47,system
163,14561,current_status,I61ESS,YWTNN1,2024-09-23T00:36:35,ops
164,24860,shipping_address,73UIV8,V5QVAB,2025-05-29T13:17:31,system
165,104588,notes,G0BA1X,9YE4FF,2024-06-01T03:04:49,support
166,28848,order_total,XDOSOC,9P0UA3,2025-04-01T02:02:02,support
167,106312,order_total,5MH8DH,ARZ645,2025-11-23T14:12:36,support
168,53356,shipping_address,6Q21ZU,QPI55E,2025-02-12T08:59:00,system
169,28548,order_total,OMALFU,IH83UT,2024-07-20T09:12:35,system
170,73680,shipping_address,L2WESW,AB0T5G,2025-08-27T04:22:10,support
171,24854,customer_phone,3IQGDB,PJOLHK,2024-04-21T19:13:31,support
172,3772,current_status,2M35W5,9S8PO5,2024-07-15T03:55:32,support
173,91863,customer_phone,U4J8OU,HM742E,2024-08-11T22:46:38,ops
174,87819,notes,RVG1EW,JOYNHX,2025-12-28T07:01:30,support
175,10999,order_total,KCHBEH,G6TMIL,2024-09-15T19:24:53,system
176,119849,shipping_address,71OZ98,4R6XG3,2025-06-09T05:45:43,support
177,83438,order_total,X1PP16,MXUE9F,2024-12-31T03:24:02,support
178,72803,shipping_address,LSNWW0,6O07ZS,2025-11-15T19:24:44,ops
179,51680,current_status,JBCA0O,P8T1MG,2024-08-30T17:00:40,system
180,62788,shipping_address,FWIMVB,36NV0O,2024-04-20T16:20:43,system
181,31107,current_status,U0CAPW,LAR0DB,2025-02-07T00:12:08,system
182,48202,notes,HS86KE,7LJGFU,2025-11-15T08:30:18,system
183,93744,customer_phone,SO4CJ1,TCX7P4,2024-04-05T18:23:50,ops
184,19879,notes,HBJ7X1,1ZCZU7,2024-06-30T09:54:43,system
185,42978,current_status,PAZUXO,9QU90N,2025-03-15T11:38:41,system
186,110090,notes,BRZXIX,ZU3L5R,2024-05-03T04:15:13,system
187,23145,current_status,VILBQM,93G8AS,2025-09-03T10:49:20,support
188,28366,shipping_address,1G905K,U1ZJH1,2024-10-07T13:47:12,system
189,77299,customer_phone,7IHH0X,WLW04V,2024-09-07T17:28:30,support
190,93213,customer_phone,LUGJZ6,XJJU8F,2024-03-01T12:28:55,ops
191,56255,current_status,NJVOBL,ABDSE3,2025-11-19T14:30:39,system
192,73705,notes,S5QE33,BS57MC,2025-02-17T08:37:57,ops
193,103615,order_total,ZCXG51,DQEV8R,2025-10-29T02:07:50,support
194,46494,current_status,RP4C0W,DCYYKU,2024-06-02T01:25:58,support
195,88120,current_status,P01NBF,0PA2Q1,2025-08-16T13:26:16,support
196,22025,notes,IL0NX5,0NERPQ,2025-07-08T18:07:58,ops
197,19962,order_total,YWMF4J,1MC8QI,2025-05-20T05:13:33,system
198,112195,notes,LF7C1W,DR6BEI,2026-02-09T13:16:19,support
199,24018,current_status,9MRNUH,DMKPQ1,2024-06-10T08:45:08,support
200,32311,current_status,IY4YAJ,1QT866,2024-11-06T04:36:34,ops
201,72587,shipping_address,PXKYDV,G41E46,2025-01-04T05:57:21,ops
202,104488,shipping_address,EBPRVA,M4VEPA,2026-02-01T04:31:28,support
203,58943,shipping_address,4ZQ9YB,3P54HL,2025-03-22T06:26:47,ops
204,3977,current_status,A9I2V5,EI84JW,2024-01-20T00:49:50,system
205,117611,customer_phone,O8VYY3,NZMWLP,2024-02-07T04:58:36,support
206,41654,order_total,PHHNEN,OR2RQS,2025-04-26T12:07:59,support
207,89180,notes,46R8I6,ESSYTN,2025-05-05T01:35:50,ops
208,70727,order_total,QBE6HC,SR9BF3,2024-08-11T07:46:51,support
209,744,customer_phone,NOF62P,X1KH0Q,2024-03-15T03:46:54,support
210,50277,order_total,LNR6L9,B3TB0G,2025-03-22T08:00:28,ops
211,92186,shipping_address,SO5O0O,U5XDHA,2024-05-03T21:59:43,support
212,78293,customer_phone,B96NJ7,3U9IOY,2025-12-18T13:47:07,ops
213,4613,customer_phone,5A9CX0,RV9KHG,2025-08-16T05:02:33,ops
214,11880,notes,BOW9GG,H4QVI7,2025-01-07T09:34:46,ops
215,116258,notes,CXQA7M,O5FK5G,2025-01-02T00:29:34,system
216,86702,customer_phone,D8U0QB,E78PEL,2025-11-04T04:01:17,system
217,30935,notes,CK0CUM,V333NM,2025-12-23T19:00:44,ops
218,114118,order_total,YOD5S2,IFF2L7,2024-07-23T09:09:55,ops
219,114267,order_total,W0X93R,0742RP,2024-10-15T13:17:11,support
220,31046,notes,U08VOX,4TMH06,2025-06-29T15:16:57,ops
221,6110,order_total,6QHSX9,A0JBUO,2025-08-21T23:37:21,support
222,35785,notes,921X5H,BHA265,2024-11-23T20:53:00,support
223,80288,shipping_address,MRW90C,PXHZBJ,2024-08-21T21:24:35,ops
224,23080,order_total,YV4EVQ,OJXVV5,2024-09-06T09:41:04,system
225,114940,customer_phone,WLILPZ,R120OC,2024-11-15T06:49:44,support
226,48131,current_status,3MW7C6,8Q1E9L,2025-12-05T18:19:35,system
227,34678,customer_phone,9PKU74,RHHPTX,2025-02-03T23:41:08,system
228,83963,notes,HTCRUO,7Z39LG,2024-09-14T16:09:36,support
229,71050,shipping_address,PRYY4R,Y72TOH,2025-03-24T22:50:25,system
230,20698,customer_phone,QGWTKW,6ZDT8S,2025-02-21T20:29:47,ops
231,79063,notes,45H2CA,JRIYVY,2025-03-28T21:06:41,support
232,42785,notes,WMZX2D,YMR1JW,2025-09-24T17:41:25,system
233,82877,order_total,U00J25,PP5UGA,2025-06-05T12:42:38,ops
234,94470,current_status,FJTNGC,71Y8X4,2025-01-26T17:11:37,support
235,23149,notes,1EB5H5,W9C0EN,2025-07-13T12:08:15,system
236,28884,shipping_address,Y87YY8,016DJ4,2024-05-18T14:41:18,system
237,1715,notes,OZ13AC,9UMB4L,2024-12-20T02:26:16,ops
238,22284,order_total,C4C9L1,WYDN2Q,2024-05-22T09:18:54,support
239,101832,order_total,F59HMM,9YOI55,2026-02-01T23:52:36,system
240,33310,shipping_address,0G0RAW,W1J23B,2024-02-03T20:03:02,support
241,45062,current_status,HBZFUX,UGW878,2024-10-19T07:47:36,system
242,76692,shipping_address,RJVR3W,0YLG8H,2024-11-19T10:43:43,ops
243,91487,customer_phone,GRDJPB,5AXCQ5,2024-02-20T16:12:49,support
244,69196,order_total,7S1599,T1PNFC,2024-04-04T14:08:34,ops
245,35486,current_status,JSKJGY,9HGDAN,2026-02-01T22:54:04,support
246,59758,customer_phone,9GFG67,YPG2TJ,2025-06-18T15:10:36,system
247,73176,customer_phone,TL4JNJ,ZU3A39,2024-07-19T03:09:14,system
248,116329,notes,2MTLQJ,3S9NHA,2024-08-09T11:14:20,system
249,101050,order_total,HUI6DE,73E87T,2025-02-23T04:13:44,ops
250,102894,shipping_address,RTLS3A,5GWGEK,2025-02-22T09:30:24,system
251,56910,customer_phone,WJ8EA5,SKOV1O,2025-05-31T22:30:44,support
252,13413,current_status,TKNMAM,IKK5LY,2025-08-13T16:10:14,ops
253,113408,current_status,IINSEL,HFX3P8,2026-01-11T04:37:11,support
254,38745,customer_phone,4BZUMU,GN2XK2,2024-07-05T00:36:27,support
255,1812,customer_phone,HGE57W,HG6IST,2024-05-01T21:24:21,system
256,89197,customer_phone,SDJD4Z,8TH5ZR,2026-01-06T21:45:49,ops
257,114390,order_total,M4ZY80,WIOM1F,2024-06-06T11:58:06,support
258,93646,customer_phone,Y4X8N1,7V4QYN,2024-05-30T04:46:50,system
259,104723,customer_phone,ULFGH1,ZPXWD2,2024-11-29T19:08:54,support
260,11461,current_status,QLWFBJ,YOSREH,2024-12-29T13:33:26,ops
261,27734,customer_phone,C4PYXS,QUEI0H,2025-08-29T04:56:46,support
262,107096,shipping_address,K8SF6Y,BZ0YKP,2025-11-11T14:36:12,ops
263,58904,customer_phone,S3BCAY,PZ8153,2025-07-10T18:22:16,ops
264,27971,order_total,GZ0U2J,GLQBB5,2026-02-04T14:12:28,system
265,5400,notes,JV7P8P,YECLYN,2025-11-28T09:15:42,support
266,71433,notes,F06ISN,EZODYE,2025-08-01T13:58:21,ops
267,45763,notes,18JUOW,E8CUWB,2025-03-17T01:32:02,support
268,28534,order_total,8JPPWD,ZS6M8J,2025-01-05T07:15:02,system
269,33524,notes,SYFPBD,DBPS4N,2024-01-20T04:28:03,support
270,100248,notes,B8P76N,KNQLIA,2025-11-17T13:00:44,system
271,21084,order_total,I3L56C,D1AB0I,2024-04-27T20:46:31,support
272,118285,order_total,N8TOZP,MX2N0W,2024-08-25T03:06:20,ops
273,29536,notes,L9GXH3,EVHGQU,2024-09-20T23:19:26,ops
274,91517,order_total,G11O3W,CG9YXR,2024-12-02T21:53:17,support
275,119307,notes,JJ17X8,8SNM1Z,2026-01-31T13:22:31,system
276,16276,current_status,D7U77B,VSGUMJ,2025-04-16T13:36:35,ops
277,26660,order_total,0769ZI,3LX76F,2024-10-21T18:11:24,system
278,83839,customer_phone,LU3CBM,AGN5VK,2026-01-30T22:24:23,ops
279,35324,customer_phone,6WT6QH,RTZML8,2025-07-17T09:47:06,support
280,16462,order_total,SMIKR5,48CPIP,2025-08-10T21:07:21,support
281,30072,customer_phone,2T8OC2,JHIQPY,2026-02-13T04:12:00,support
282,39636,notes,X4I35C,OPETHZ,2024-12-19T11:31:46,support
283,56770,current_status,CHBE6O,WAFCUT,2025-10-19T01:43:34,support
284,3792,current_status,U40ZY9,RMYYLY,2025-05-04T04:03:11,system
285,78189,notes,2D7SQ2,QZHBIJ,2024-05-05T02:37:09,ops
286,118835,order_total,RLC0IR,4P144E,2024-09-10T15:42:21,support
287,76647,shipping_address,7GNO9H,OZ7ELQ,2024-12-10T12:10:34,ops
288,38363,customer_phone,0APVEE,GCKJLG,2024-12-29T08:53:45,system
289,90525,notes,5QYQJ8,T2NGTW,2024-08-14T07:42:35,support
290,71223,current_status,1X04V3,KL8Q4U,2025-09-04T19:34:08,support
291,70582,customer_phone,J2IQ1E,ACMZ0A,2025-08-04T14:45:01,ops
292,22614,current_status,499D5Y,FZHB7V,2025-09-12T05:20:39,support
293,77521,notes,TCETL6,GLVMFM,2025-10-19T19:51:20,ops
294,3285,notes,384VIY,Z37MT7,2025-12-20T00:02:23,system
295,40640,current_status,ZVAD8O,YRZYQE,2025-05-04T22:33:24,system
296,15052,customer_phone,49CRCB,VTEUTV,2025-07-22T04:15:01,system
297,115122,order_total,BCIST6,XUBWK1,2024-06-01T13:09:17,system
298,77098,shipping_address,QRLIKU,GKU7S0,2024-04-10T06:31:13,ops
299,105158,shipping_address,XNUWYG,M5X6OK,2024-06-24T10:55:56,system
300,28476,order_total,S0U1HI,QQPOO8,2024-04-14T06:01:28,support
301,81984,customer_phone,USDBT6,VMDLSV,2024-11-22T02:00:11,system
302,82229,current_status,K7NFUD,FLTVAD,2024-12-03T00:28:07,system
303,76912,order_total,26WHNV,9R1ZWR,2024-07-31T10:32:05,ops
304,113835,current_status,2C924M,ZT3E04,2024-06-07T09:16:09,system
305,15056,current_status,VF2L7A,4KNI6Z,2025-09-06T18:32:29,support
306,33090,customer_phone,VODMVM,V49QJA,2024-10-04T05:41:57,support
307,12201,order_total,GUMD82,Z5WYMF,2025-04-19T01:09:39,ops
308,66729,customer_phone,0MIBPS,2P6R5X,2024-11-14T05:20:21,support
309,27605,current_status,O2RA09,EL37IJ,2025-11-21T06:42:54,system
310,59495,order_total,6Z59S9,NIFYO4,2025-04-19T08:58:51,support
311,101793,order_total,LAE8SX,861QZL,2024-12-14T01:22:19,ops
312,86773,order_total,SW6TDX,AL1AD3,2025-04-20T02:51:36,ops
313,119113,shipping_address,X7UJCW,KMV1DD,2026-01-17T11:26:28,ops
314,94731,current_status,SY7IK6,HJ1BJM,2024-12-22T02:07:30,support
315,82629,order_total,0QC4CH,K4RKWJ,2025-11-22T07:45:36,support
316,66135,current_status,PMHZSQ,UYG2BB,2024-07-01T05:49:59,system
317,61854,order_total,T54TMG,JMQP5O,2025-02-18T15:18:24,support
318,95227,order_total,8DKASI,6ESYOT,2025-03-27T03:06:52,ops
319,8826,shipping_address,XWARBA,7IQ21C,2024-09-24T15:26:41,system
320,116942,current_status,YX4HYC,70BYYD,2025-02-28T21:40:39,system
321,10544,order_total,B9UMOM,3UTXM2,2025-09-07T19:06:46,support
322,104266,customer_phone,KRPUY7,NHDF58,2024-07-21T00:12:03,support
323,49200,notes,BL2RD2,I7WTEV,2025-10-05T04:58:18,system
324,43587,order_total,8KL56A,LMDJ9O,2024-05-19T11:05:25,support
325,100078,order_total,P5FFC2,8VAKEY,2024-12-04T09:39:47,ops
326,50304,order_total,6NWXN2,8GMTFX,2024-10-21T12:59:26,system
327,12245,notes,1XAQMO,P39A3I,2025-09-11T09:23:47,support
328,41035,shipping_address,WSTNBA,9I5LSM,2024-01-19T07:21:09,ops
329,36484,customer_phone,AAUXIL,XTE0WU,2024-06-04T09:25:12,system
330,56989,current_status,PVMKXU,MAUREP,2025-06-21T02:25:17,system
331,13238,order_total,525U1A,EOU88P,2025-11-01T00:45:44,ops
332,81471,customer_phone,U3INN3,R3F4I5,2025-06-02T03:27:20,ops
333,26481,current_status,I27UK6,SEL9L7,2024-02-09T18:22:55,system
334,111006,customer_phone,8X3BVD,R6186F,2024-12-30T02:13:39,support
335,42456,customer_phone,XNEQ18,GD50W8,2025-08-15T02:36:21,support
336,30776,notes,GZSFDJ,5WWS4X,2025-11-19T23:46:50,support
337,95386,order_total,JW8K8B,G0X9AO,2025-10-12T22:18:52,support
338,117842,order_total,IREWT5,7T4G4G,2025-01-07T12:45:01,system
339,67560,shipping_address,KCUNAC,YIPVDM,2024-01-31T15:29:44,support
340,30012,shipping_address,PSRMFK,MA0KJZ,2024-11-25T08:16:40,system
341,109484,customer_phone,6SBL3J,JNSRTI,2025-12-20T01:05:19,support
342,64781,current_status,VU99LI,YRYEY3,2024-08-07T14:51:07,system
343,107648,current_status,LMSDXX,AMX831,2024-02-29T23:05:59,system
344,71439,notes,PM0LG6,VM1KUX,2024-08-22T16:48:17,system
345,105572,customer_phone,XGSNSH,L2JWZ0,2024-07-22T17:50:03,system
346,48682,notes,ZYSK5L,TOYFKT,2024-04-17T09:18:29,support
347,9025,order_total,HW6O7X,BHNZD4,2025-05-31T12:41:50,ops
348,69693,notes,6ZMYZX,CVBIPW,2024-05-26T11:02:58,support
349,38502,current_status,EE8BDN,VADKKM,2024-10-17T04:46:37,ops
350,114132,order_total,CSCBPS,6EVHQO,2024-06-12T22:23:00,system
351,113520,notes,EI68WE,TUAZMK,2025-09-04T02:38:04,system
352,13069,notes,5HZAW3,LDVQ1P,2024-06-19T18:42:10,system
353,68599,shipping_address,VWLKZV,5WZ4MN,2024-04-28T17:19:18,system
354,73420,customer_phone,N64MA3,C1E6GT,2025-10-10T23:11:37,ops
355,27230,order_total,KWMRH3,WVNLEH,2024-09-22T14:21:55,ops
356,37656,shipping_address,6MPG47,RW9KO4,2026-01-03T23:30:11,support
357,79441,current_status,W96CVQ,3NCCF9,2025-08-26T00:44:26,system
358,36562,current_status,U23Z47,IUZJUX,2024-09-21T16:56:46,system
359,105610,order_total,DYBZ9E,6C8QBQ,2024-06-05T20:41:10,ops
360,30745,current_status,JTJTVX,OXHPSE,2024-06-30T12:08:03,system
361,98291,order_total,VFHPHN,51Z6SQ,2025-08-10T00:49:49,system
362,94492,current_status,XF8ZCR,WRJKL0,2024-07-10T10:19:10,ops
363,118683,shipping_address,ENK7NY,Y7GXAR,2024-08-10T22:20:56,system
