order_item_id,order_id,product_id,quantity,unit_price,discount_rate,line_total
112,24227,2991,5,233.33,0.223,1166.65
113,48367,825,5,288.8,0.005,1444.0
114,82247,7957,1,184.96,0.202,184.96
115,63263,348,3,224.71,0.134,674.13
116,90892,4469,2,93.12,0.223,186.24
117,49221,4251,4,405.7,0.026,1622.8
118,29842,7544,3,421.98,0.102,1265.94
119,12607,975,5,219.85,0.213,1099.25
120,15876,2389,2,110.24,0.218,220.48
121,3990,754,1,216.99,0.214,216.99
122,25631,3176,4,156.88,0.161,627.52
123,105877,137,3,272.74,0.091,818.22
124,23959,5816,3,485.37,0.017,1456.11
125,85194,1334,3,262.32,0.061,786.96
126,99493,4626,4,288.26,0.107,1153.04
127,88479,5428,5,256.56,0.165,1282.8
128,62319,2433,1,371.09,0.137,371.09
129,108565,6567,4,38.84,0.217,155.36
130,73798,4823,3,377.41,0.191,1132.23
131,116202,3356,1,277.65,0.242,277.65
132,46795,2485,3,107.53,0.163,322.59
133,78108,1631,5,457.29,0.075,2286.45
134,32489,4186,2,185.06,0.055,370.12
135,44860,310,3,222.0,0.2,666.0
136,118142,676,4,212.99,0.004,851.96
137,65102,1340,1,153.44,0.192,153.44
138,63377,7481,2,371.74,0.053,743.48
139,102514,1340,2,147.74,0.222,295.48
140,105492,3221,3,435.56,0.071,1306.68
141,18489,2220,2,21.64,0.075,43.28
142,112858,4149,5,293.79,0.19,1468.95
143,6687,3798,2,339.52,0.085,679.04
144,66128,3040,5,32.22,0.228,161.1
145,54915,7104,1,364.36,0.071,364.36
146,39338,344,3,337.18,0.157,1011.54
147,100147,3981,3,352.08,0.193,1056.24
148,78470,5769,2,124.75,0.178,249.5
149,9204,2766,2,326.32,0.239,652.64
150,109978,7357,1,24.76,0.072,24.76
151,118449,189,2,279.38,0.177,558.76
152,84891,3124,5,123.13,0.116,615.65
153,98386,2426,5,22.73,0.232,113.65
154,96871,1159,4,41.32,0.189,165.28
155,61895,7147,5,410.35,0.162,2051.75
156,85411,305,4,111.17,0.038,444.68
157,97149,918,3,251.67,0.135,755.01
158,53031,58,3,130.18,0.025,390.54
159,102193,1005,4,321.9,0.055,1287.6
160,99142,1573,3,243.43,0.236,730.29
161,94400,2710,5,380.63,0.222,1903.15
162,13915,5000,3,354.38,0.213,1063.14
163,51046,447,2,230.47,0.094,460.94
164,48739,579,2,401.11,0.163,802.22
165,8233,181,3,122.87,0.23,368.61
166,44904,3253,2,26.57,0.162,53.14
167,46793,491,5,209.79,0.023,1048.95
168,50679,3769,4,118.36,0.133,473.44
169,23333,4560,5,175.32,0.049,876.6
170,103592,1323,2,108.9,0.086,217.8
171,67753,2367,5,280.7,0.147,1403.5
172,73936,158,2,384.23,0.029,768.46
173,42966,4527,2,356.67,0.021,713.34
174,92827,5459,3,129.13,0.051,387.39
175,81575,2868,1,229.13,0.09,229.13
176,39309,2802,2,222.06,0.145,444.12
177,73624,4080,1,222.73,0.211,222.73
178,62702,6880,2,25.86,0.035,51.72
179,90712,4534,2,317.73,0.088,635.46
180,57875,2887,5,397.11,0.093,1985.55
181,12555,6714,5,34.01,0.225,170.05
182,4604,4224,4,101.95,0.091,407.8
183,86648,5396,5,29.48,0.242,147.4
184,17359,6421,1,64.38,0.035,64.38
185,104547,3215,3,307.32,0.148,921.96
186,76104,7412,2,364.57,0.076,729.14
187,54332,7762,5,372.58,0.054,1862.9
188,5052,4880,2,87.44,0.193,174.88
189,86853,6473,1,123.49,0.196,123.49
190,29466,2489,1,384.48,0.154,384.48
191,67704,3743,2,381.43,0.061,762.86
192,79083,5311,4,421.51,0.098,1686.04
193,66642,3767,3,71.78,0.122,215.34
194,48221,1000,5,101.13,0.247,505.65
195,95167,4106,4,190.74,0.057,762.96
196,63678,2760,4,119.05,0.012,476.2
197,82228,4143,1,211.31,0.227,211.31
198,6432,3901,4,174.01,0.056,696.04
199,77768,3414,3,34.16,0.169,102.48
200,56827,1930,2,250.77,0.188,501.54
201,60747,7839,5,364.11,0.213,1820.55
202,53945,2563,4,102.82,0.115,411.28
203,16408,620,1,42.94,0.213,42.94
204,54010,7818,5,451.99,0.074,2259.95
205,51504,7684,5,49.43,0.135,247.15
206,55055,7808,4,56.38,0.099,225.52
207,2282,3502,1,206.45,0.118,206.45
208,116457,4025,5,168.55,0.248,842.75
209,106614,4652,2,291.31,0.082,582.62
210,66040,3799,4,326.47,0.168,1305.88
211,77447,6369,3,75.2,0.009,225.6
212,12944,6945,3,433.51,0.117,1300.53
213,40603,7562,2,196.74,0.109,393.48
214,69309,7986,4,193.81,0.182,775.24
215,15330,4610,2,465.92,0.02,931.84
216,91433,5,4,168.89,0.248,675.56
217,100627,577,4,255.97,0.109,1023.88
218,16227,6171,2,274.88,0.033,549.76
219,99388,4445,5,353.98,0.124,1769.9
220,22934,5888,2,439.66,0.044,879.32
221,97068,5357,5,184.93,0.178,924.65
222,34680,1056,4,136.51,0.228,546.04
223,119079,142,4,46.92,0.24,187.68
224,41669,7829,1,153.01,0.176,153.01
225,54453,4689,4,246.29,0.116,985.16
226,84654,857,3,314.11,0.129,942.33
227,46141,6311,3,39.62,0.084,118.86
228,66999,4477,3,205.91,0.063,617.73
229,102833,5966,5,414.53,0.102,2072.65
230,91992,244,5,332.23,0.217,1661.15
231,87858,4237,2,367.24,0.012,734.48
232,16120,1911,2,227.76,0.241,455.52
233,46965,2552,5,130.21,0.148,651.05
234,29813,3513,1,392.75,0.011,392.75
235,11299,5082,4,41.47,0.248,165.88
236,112162,3215,2,331.85,0.08,663.7
237,47124,82,2,156.81,0.177,313.62
238,41158,2996,1,312.78,0.092,312.78
239,98823,7213,1,407.54,0.118,407.54
240,92760,5091,2,122.53,0.004,245.06
241,118232,7452,2,336.65,0.228,673.3
242,76902,3049,4,291.05,0.058,1164.2
243,54439,6385,5,35.82,0.169,179.1
244,79506,4958,3,144.95,0.003,434.85
245,97061,2045,4,424.35,0.113,1697.4
246,38638,758,4,49.69,0.181,198.76
247,85229,2286,4,173.18,0.21,692.72
248,35122,2994,2,199.03,0.191,398.06
249,64973,1576,5,159.19,0.142,795.95
250,80440,1970,3,102.18,0.037,306.54
251,104326,1291,5,161.2,0.184,806.0
252,89850,5819,4,197.46,0.092,789.84
253,63781,3863,3,402.56,0.166,1207.68
254,12031,2127,5,326.08,0.038,1630.4
255,16090,1529,2,347.18,0.2,694.36
256,7161,5163,4,376.53,0.244,1506.12
257,30964,2800,4,78.67,0.076,314.68
258,2758,4817,4,466.06,0.02,1864.24
259,44003,6960,2,237.1,0.226,474.2
260,18475,6338,1,330.4,0.135,330.4
261,65366,3974,5,211.21,0.246,1056.05
262,89395,4362,4,155.97,0.2,623.88
263,98540,6607,1,61.84,0.01,61.84
264,31137,6879,3,219.01,0.176,657.03
265,79334,7771,1,191.23,0.228,191.23
266,14714,4786,4,117.46,0.23,469.84
267,32499,3901,5,144.88,0.214,724.4
268,89449,5672,5,292.19,0.067,1460.95
269,95773,2764,3,290.62,0.227,871.86
270,31778,6474,5,65.32,0.096,326.6
271,82868,4145,2,182.42,0.024,364.84
272,53781,2246,2,346.47,0.004,692.94
273,73293,3884,4,110.25,0.242,441.0
274,10059,5694,4,314.64,0.246,1258.56
275,16979,3581,5,137.76,0.145,688.8
276,87440,4786,3,142.47,0.066,427.41
277,107597,3066,4,219.61,0.219,878.44
278,101346,6004,2,126.28,0.221,252.56
279,80594,1975,1,157.16,0.124,157.16
280,31558,2218,5,252.07,0.055,1260.35
281,39113,1355,2,275.49,0.168,550.98
282,57609,7152,1,158.26,0.034,158.26
283,58588,5024,5,184.04,0.046,920.2
284,108549,4274,5,211.81,0.134,1059.05
285,97816,2960,3,92.79,0.206,278.37
286,55674,6547,1,61.21,0.225,61.21
287,44144,1709,3,62.17,0.064,186.51
288,111826,4225,4,16.34,0.228,65.36
289,114923,1001,2,324.63,0.198,649.26
290,15408,1115,2,213.82,0.103,427.64
291,88176,2628,1,178.98,0.237,178.98
292,115803,5988,2,418.12,0.037,836.24
293,566,7759,2,276.18,0.092,552.36
294,8603,2477,2,58.83,0.162,117.66
295,36876,5130,1,159.72,0.179,159.72
296,91641,1452,5,29.97,0.179,149.85
297,90168,7908,3,153.09,0.009,459.27
298,7984,818,5,105.81,0.127,529.05
299,97458,2695,5,151.98,0.199,759.9
300,3425,7477,1,58.02,0.017,58.02
301,69371,4770,4,225.79,0.081,903.16
302,85281,3265,4,230.18,0.148,920.72
303,14002,829,1,230.17,0.16,230.17
304,99263,4369,1,72.25,0.094,72.25
305,10743,887,3,174.18,0.032,522.54
306,9218,2166,4,90.43,0.184,361.72
307,24043,6664,3,394.95,0.065,1184.85
308,44046,1509,1,406.42,0.123,406.42
309,38669,5587,3,98.03,0.042,294.09
310,117247,5468,5,151.76,0.023,758.8
311,38650,1648,5,159.32,0.208,796.6
312,73126,481,1,82.8,0.213,82.8
313,64113,2917,2,179.61,0.14,359.22
314,116991,7111,5,21.71,0.126,108.55
315,50099,3774,1,19.92,0.067,19.92
316,19838,1132,4,299.53,0.079,1198.12
317,83912,5932,1,320.31,0.021,320.31
318,75489,3695,4,311.46,0.034,1245.84
319,57385,4536,2,320.29,0.115,640.58
320,33496,6890,5,90.27,0.248,451.35
321,9346,6633,3,242.42,0.222,727.26
322,110197,7107,4,103.26,0.004,413.04
323,19355,5783,2,417.52,0.12,835.04
324,31529,4035,3,185.36,0.246,556.08
325,53086,6835,2,283.5,0.242,567.0
326,76717,3723,3,111.58,0.08,334.74
327,45170,3194,3,287.14,0.165,861.42
328,115493,7408,4,97.77,0.116,391.08
329,119176,3444,3,75.71,0.186,227.13
330,44579,1583,4,203.48,0.133,813.92
331,67194,3033,1,455.06,0.089,455.06
332,88697,648,1,387.61,0.22,387.61
333,43507,4726,4,107.65,0.19,430.6
334,10360,3208,5,230.46,0.16,1152.3
335,79736,4047,2,368.29,0.008,736.58
336,41967,96,3,315.3,0.106,945.9
337,1130,5703,3,215.45,0.111,646.35
338,14741,7557,3,121.79,0.137,365.37
339,91822,5050,2,344.08,0.081,688.16
340,56608,5968,3,369.14,0.012,1107.42
341,69562,3367,2,306.11,0.226,612.22
342,89149,3678,1,111.11,0.248,111.11
343,83614,231,2,198.64,0.19,397.28
344,102394,6463,5,345.55,0.232,1727.75
345,70744,4167,4,344.56,0.159,1378.24
346,21834,1878,3,66.5,0.208,199.5
347,44958,6667,3,220.28,0.116,660.84
348,43426,5063,3,354.99,0.202,1064.97
349,80372,7984,4,136.19,0.05,544.76
350,73216,238,1,179.2,0.222,179.2
351,66882,7492,2,293.84,0.076,587.68
352,106912,7158,4,113.78,0.101,455.12
353,94582,2740,2,215.53,0.017,431.06
354,92283,7726,5,54.91,0.082,274.55
355,14872,118,1,159.98,0.182,159.98
356,81602,772,1,264.09,0.174,264.09
357,3175,5850,2,312.65,0.194,625.3
358,21549,3385,1,398.95,0.155,398.95
359,111376,7294,5,12.1,0.166,60.5
360,13626,1053,5,389.69,0.209,1948.45
361,92042,1430,5,78.22,0.03,391.1
362,27238,5672,3,301.27,0.038,903.81
363,54364,3222,3,196.85,0.125,590.55
364,31314,298,5,313.55,0.147,1567.75
365,73802,6679,2,134.23,0.069,268.46
366,30320,6461,3,29.0,0.126,87.0
367,112888,7445,5,478.12,0.043,2390.6
368,8675,6553,1,24.15,0.146,24.15
369,14120,3,4,277.08,0.221,1108.32
370,66375,3329,5,388.21,0.09,1941.05
371,51919,7835,1,77.09,0.233,77.09
372,99380,1732,4,9.14,0.004,36.56
373,18385,2651,4,225.16,0.23,900.64
374,64110,3080,1,140.0,0.21,140.0
375,102122,3505,1,31.93,0.145,31.93
376,32316,1052,4,257.96,0.219,1031.84
377,59267,1410,5,238.91,0.199,1194.55
378,51950,543,5,181.92,0.014,909.6
379,45919,7498,5,64.2,0.078,321.0
380,30799,2275,2,368.12,0.115,736.24
381,41402,2750,3,302.84,0.061,908.52
382,44470,6993,3,402.77,0.108,1208.31
383,103469,7583,5,198.93,0.166,994.65
384,39721,530,2,240.28,0.054,480.56
385,109400,3927,4,433.67,0.066,1734.68
386,14877,2000,5,245.65,0.012,1228.25
387,2331,3614,1,50.34,0.214,50.34
388,119475,2444,2,4.77,0.122,9.54
389,115918,1878,1,75.56,0.1,75.56
390,75580,2341,1,138.48,0.033,138.48
391,25593,6739,5,319.17,0.207,1595.85
392,100924,7320,1,275.32,0.134,275.32
393,90343,7133,2,94.4,0.117,188.8
394,96753,4192,3,277.5,0.119,832.5
395,13740,96,4,331.88,0.059,1327.52
396,106915,7333,1,413.4,0.038,413.4
397,16030,767,1,363.33,0.135,363.33
398,27039,2037,3,90.08,0.121,270.24
399,46181,1308,1,407.76,0.046,407.76
400,56797,3183,5,235.03,0.194,1175.15
401,9289,2411,4,374.99,0.022,1499.96
402,31152,348,4,249.1,0.04,996.4
403,33404,4822,4,208.88,0.247,835.52
404,82790,2349,5,76.28,0.169,381.4
405,39000,2991,2,271.17,0.097,542.34
406,31486,6511,4,301.06,0.208,1204.24
407,70280,2059,5,129.21,0.093,646.05
408,57579,3687,1,411.57,0.132,411.57
409,63524,3437,3,380.73,0.024,1142.19
410,9962,2113,2,397.67,0.152,795.34
411,114169,7115,2,121.31,0.156,242.62
412,99911,1853,4,149.76,0.16,599.04
413,97752,4836,4,342.5,0.208,1370.0
414,18681,2174,4,299.78,0.227,1199.12
415,23409,7698,1,52.78,0.212,52.78
416,57177,3766,1,232.09,0.105,232.09
417,102422,4010,5,487.22,0.007,2436.1
418,23211,1242,3,413.27,0.141,1239.81
419,45169,7107,3,94.03,0.093,282.09
420,44022,2402,2,283.14,0.104,566.28
421,79701,5195,5,339.61,0.058,1698.05
422,43581,710,5,430.56,0.005,2152.8
423,71044,5416,3,161.26,0.226,483.78
424,43948,5959,2,226.52,0.225,453.04
425,60693,1726,3,47.48,0.064,142.44
426,114005,388,3,159.35,0.221,478.05
427,83158,4843,4,113.29,0.015,453.16
428,46576,3686,1,391.44,0.111,391.44
429,11332,46,5,232.63,0.025,1163.15
430,88764,3663,3,21.29,0.03,63.87
431,93654,5212,3,99.32,0.245,297.96
432,77638,1655,3,47.23,0.212,141.69
433,106458,1673,5,87.95,0.011,439.75
434,84609,1304,1,351.62,0.094,351.62
435,1276,5601,4,373.18,0.223,1492.72
436,111721,2734,4,446.22,0.021,1784.88
437,114191,207,2,324.94,0.061,649.88
438,58464,6357,2,233.47,0.118,466.94
439,11576,3816,4,145.37,0.02,581.48
440,77673,4014,1,128.9,0.241,128.9
441,18652,3572,3,256.6,0.099,769.8
442,14914,2825,4,19.02,0.148,76.08
443,61051,4375,5,204.06,0.241,1020.3
444,52342,6725,1,281.14,0.046,281.14
445,65222,7285,1,13.85,0.072,13.85
446,62064,7856,1,380.74,0.238,380.74
447,6551,2730,2,316.25,0.187,632.5
448,74268,3379,3,123.8,0.116,371.4
449,41362,7960,4,54.79,0.022,219.16
450,53710,7221,1,65.01,0.018,65.01
451,40946,1864,5,78.73,0.144,393.65
452,65032,4289,2,431.84,0.012,863.68
453,95472,2861,2,32.19,0.108,64.38
454,106117,3672,1,21.8,0.242,21.8
455,118176,1996,2,79.91,0.065,159.82
456,36441,5980,3,282.13,0.166,846.39
457,6493,2275,2,341.09,0.18,682.18
458,114198,1076,4,182.76,0.163,731.04
459,23758,5493,4,39.86,0.054,159.44
460,59000,4106,4,195.6,0.033,782.4
461,31962,2340,1,388.12,0.114,388.12
462,75290,7459,3,75.84,0.053,227.52
463,90707,7532,4,109.52,0.116,438.08
464,83223,7505,3,206.32,0.179,618.96
465,2959,1702,2,223.69,0.244,447.38
466,114158,4781,3,403.23,0.087,1209.69
467,75156,1718,3,64.14,0.048,192.42
468,8724,2737,3,217.16,0.113,651.48
469,96732,5704,2,232.51,0.227,465.02
470,104893,7795,5,399.92,0.152,1999.6
471,12323,2146,5,194.9,0.023,974.5
472,15834,1313,5,375.01,0.158,1875.05
473,20893,5106,5,217.7,0.107,1088.5
474,3581,5470,3,311.56,0.152,934.68
475,107059,3793,4,163.55,0.033,654.2
476,25277,491,3,211.72,0.014,635.16
477,86989,7071,3,375.46,0.065,1126.38
478,10987,2697,5,335.11,0.181,1675.55
479,62643,2103,4,249.35,0.117,997.4
480,78642,4251,4,318.65,0.235,1274.6
481,93809,3913,4,307.84,0.031,1231.36
482,39983,3510,4,350.36,0.03,1401.44
483,44172,7726,2,49.22,0.177,98.44
484,87258,2188,2,188.81,0.133,377.62
485,38083,6662,1,88.63,0.147,88.63
486,88222,874,1,148.14,0.18,148.14
487,106380,3521,4,39.27,0.213,157.08
488,108559,2777,5,55.29,0.193,276.45
489,37817,4342,4,184.5,0.088,738.0
490,64751,4320,3,337.65,0.168,1012.95
491,14246,631,5,51.53,0.121,257.65
492,26119,7128,4,316.75,0.069,1267.0
493,13855,2225,4,214.42,0.113,857.68
494,21999,1638,5,359.46,0.15,1797.3
495,110454,7936,3,247.04,0.241,741.12
496,76269,2444,1,4.97,0.084,4.97
497,13836,5086,5,354.79,0.073,1773.95
498,47190,1016,2,242.98,0.025,485.96
499,93760,945,4,30.24,0.081,120.96
500,84857,779,5,235.79,0.111,1178.95
501,20890,6140,5,216.35,0.197,1081.75
502,26144,7092,4,203.2,0.213,812.8
503,65354,7166,3,227.44,0.226,682.32
504,74972,7781,4,396.65,0.086,1586.6
505,4700,4099,5,44.4,0.082,222.0
506,105867,812,4,255.39,0.147,1021.56
507,35393,5812,1,117.57,0.14,117.57
508,106412,5239,3,186.05,0.143,558.15
509,77572,6985,3,289.36,0.191,868.08
510,79869,183,1,433.4,0.106,433.4
511,14212,6904,1,138.51,0.168,138.51
512,115895,103,5,300.86,0.204,1504.3
513,54380,3446,1,317.66,0.046,317.66
514,13912,3127,2,83.89,0.171,167.78
515,30340,7801,4,372.93,0.232,1491.72
516,103091,6215,3,250.69,0.014,752.07
517,50419,2589,4,199.39,0.224,797.56
518,93218,5999,4,207.9,0.159,831.6
519,117479,3807,3,45.55,0.061,136.65
520,20567,7362,4,157.0,0.151,628.0
521,8091,2611,5,12.49,0.172,62.45
522,50287,6036,4,53.27,0.225,213.08
523,76194,5932,1,288.9,0.117,288.9
524,27686,1592,5,429.13,0.069,2145.65
525,33735,2015,2,324.32,0.147,648.64
526,117828,6990,2,317.06,0.167,634.12
527,45919,6965,2,354.92,0.207,709.84
528,107234,6727,1,180.1,0.11,180.1
529,117925,745,2,358.73,0.168,717.46
530,77987,3193,3,406.28,0.049,1218.84
531,33629,7059,5,87.0,0.042,435.0
532,7621,2909,1,148.5,0.117,148.5
533,80960,5407,3,309.14,0.043,927.42
534,51017,1056,2,152.78,0.136,305.56
535,24085,4161,5,288.83,0.033,1444.15
536,19960,3298,3,342.33,0.089,1026.99
537,31749,2706,4,106.71,0.136,426.84
538,115586,6413,5,267.73,0.224,1338.65
539,114822,1049,1,121.25,0.122,121.25
540,115201,1225,5,76.28,0.195,381.4
541,85222,5957,1,384.5,0.206,384.5
542,33083,4778,3,29.1,0.109,87.3
543,96077,2749,4,311.62,0.085,1246.48
544,78008,810,1,372.85,0.154,372.85
545,65370,5652,4,383.39,0.019,1533.56
546,92778,7871,1,420.46,0.12,420.46
547,18000,281,5,234.66,0.039,1173.3
548,115736,2913,1,413.52,0.028,413.52
549,71248,5312,5,39.01,0.126,195.05
550,100558,3341,1,249.74,0.038,249.74
551,65484,1388,3,457.85,0.016,1373.55
552,5323,2436,3,287.37,0.233,862.11
553,95689,3518,3,340.8,0.248,1022.4
554,10850,671,1,339.41,0.053,339.41
555,89706,1209,1,364.47,0.234,364.47
556,9015,7724,5,136.07,0.158,680.35
557,81382,3342,1,377.98,0.027,377.98
558,105013,4261,2,197.94,0.153,395.88
559,90977,3135,4,61.11,0.16,244.44
560,101324,1324,3,221.81,0.246,665.43
561,71117,7638,2,158.68,0.211,317.36
562,2170,3558,3,98.35,0.052,295.05
563,92891,4816,3,39.54,0.162,118.62
564,108823,2992,1,314.05,0.126,314.05
565,64020,2251,2,400.21,0.167,800.42
566,51397,3751,4,228.04,0.08,912.16
567,38006,4007,1,81.35,0.03,81.35
568,5239,5011,5,339.45,0.182,1697.25
569,115287,1832,1,249.22,0.12,249.22
570,74339,2809,1,268.23,0.249,268.23
571,57260,1803,5,95.58,0.158,477.9
572,19906,6418,1,324.03,0.197,324.03
573,95295,5040,2,165.98,0.059,331.96
574,1143,3165,3,213.48,0.201,640.44
575,72887,6356,3,86.61,0.197,259.83
576,73286,935,3,290.16,0.181,870.48
577,91916,412,1,295.58,0.234,295.58
578,17371,6485,1,368.2,0.061,368.2
579,8513,4751,5,419.13,0.109,2095.65
580,43704,1955,1,9.2,0.065,9.2
581,87592,541,5,401.24,0.047,2006.2
582,68569,2319,2,30.65,0.138,61.3
583,105608,5932,2,251.93,0.23,503.86
584,104099,7717,2,349.38,0.086,698.76
585,41167,7395,3,449.95,0.075,1349.85
586,8949,2395,2,279.07,0.197,558.14
587,89978,6888,5,308.06,0.209,1540.3
588,117659,4583,2,337.36,0.015,674.72
589,60215,7725,3,88.6,0.16,265.8
590,113322,288,3,51.93,0.142,155.79
591,6237,7632,3,331.39,0.11,994.17
592,87617,5907,1,408.96,0.091,408.96
593,87670,5282,2,214.18,0.146,428.36
594,9203,306,2,254.87,0.003,509.74
595,55822,4446,1,163.27,0.007,163.27
596,102158,4439,2,371.88,0.12,743.76
597,7544,239,5,158.76,0.017,793.8
598,96407,1347,2,225.53,0.003,451.06
599,3968,1424,1,185.25,0.211,185.25
600,61829,4417,1,163.91,0.164,163.91
601,34501,3294,3,184.02,0.172,552.06
602,19509,5838,4,492.58,0.0,1970.32
603,81598,5199,1,318.7,0.206,318.7
604,94774,3342,1,357.39,0.08,357.39
605,56467,733,5,37.58,0.227,187.9
606,72839,7100,5,68.05,0.188,340.25
607,110259,2264,3,308.39,0.004,925.17
608,92411,531,3,381.92,0.217,1145.76
609,53187,2901,4,58.1,0.054,232.4
610,68334,1933,2,309.5,0.119,619.0
611,92317,932,2,160.0,0.188,320.0
612,101773,920,4,68.85,0.192,275.4
613,14088,3019,4,410.51,0.04,1642.04
614,85885,1833,5,39.35,0.132,196.75
615,13708,7727,4,454.13,0.001,1816.52
616,80429,4065,1,232.39,0.237,232.39
617,33053,6496,5,76.1,0.213,380.5
618,28001,5256,1,93.21,0.229,93.21
619,64128,1177,2,35.26,0.117,70.52
620,14722,6946,2,54.09,0.119,108.18
621,103842,2079,3,70.65,0.247,211.95
622,42145,5852,3,232.8,0.121,698.4
623,115896,2352,3,376.44,0.13,1129.32
624,87810,7032,4,278.08,0.072,1112.32
625,106480,5923,1,382.04,0.072,382.04
626,49968,5019,1,359.79,0.032,359.79
627,45868,3988,3,464.33,0.07,1392.99
628,18609,5249,5,16.77,0.114,83.85
629,102408,3854,5,181.77,0.137,908.85
630,41321,1537,5,417.27,0.116,2086.35
